,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,301021.SZ,N英诺,45.7,36.24,383.09,228080.0,1020550000.0,95.14,50.0,41.0,41.0,9.46,,70.33,88.56,7.53,6930180247.0,1481944336.0
1,301020.SZ,N密封,33.33,22.69,213.25,237114.0,695102336.0,148.5,42.13,26.33,26.33,10.64,,68.31,40.16,6.33,4879512000.0,1156979490.0
2,605287.SH,N德才,45.45,13.89,44.01,6586.0,29920059.0,24.02,45.45,37.87,37.87,31.56,,2.63,20.86,3.16,4545000000.0,1136250000.0
3,300343.SZ,联创股份,4.84,0.81,20.1,3819344.0,1794873488.0,14.39,4.84,4.26,4.41,4.03,4.08,42.57,105.02,7.65,5602716075.0,4342321144.0
4,300455.SZ,康拓红外,11.98,2.0,20.04,612222.0,714288832.0,15.53,11.98,10.43,10.43,9.98,8.86,11.01,309.97,5.48,8598859873.0,6659081215.0
5,301013.SZ,利和兴,31.32,5.22,20.0,137369.0,390150912.0,20.38,31.32,26.0,26.0,26.1,0.77,41.32,-300.13,5.54,4880555009.0,1041274304.0
6,301010.SZ,晶雪节能,27.98,4.66,19.98,78285.0,211205487.0,18.74,27.98,23.61,23.87,23.32,1.52,30.58,151.86,4.19,3021840000.0,716360356.0
7,300345.SZ,华民股份,6.27,0.83,15.26,552897.0,323999984.0,16.54,6.28,5.38,5.55,5.44,2.09,12.53,162.47,5.49,2766922678.0,2766922678.0
8,300820.SZ,英杰电气,64.18,8.4,15.06,76374.0,457574816.0,17.0,65.0,55.52,56.05,55.78,1.59,25.63,53.97,5.59,6118086860.0,1912562845.0
9,300053.SZ,欧比特,10.85,1.41,14.94,1199484.0,1292895776.0,15.68,11.33,9.85,9.85,9.44,6.98,18.97,110.59,2.5,7618416600.0,6860676926.0
10,300268.SZ,佳沃股份,19.65,2.3,13.26,151480.0,278886576.0,17.64,20.3,17.24,17.57,17.35,0.98,11.32,-5.48,-6.6,3423030000.0,2629520261.0
11,300790.SZ,宇瞳光学,42.1,4.9,13.17,87597.0,356507312.0,20.11,43.98,36.5,36.65,37.2,2.24,8.11,40.09,6.22,9224915962.0,4547566094.0
12,300712.SZ,永福股份,51.18,5.76,12.68,57689.0,291151408.0,18.08,53.59,45.38,45.43,45.42,1.28,3.17,270.01,8.96,9320082720.0,9320082720.0
13,688368.SH,晶丰明源,452.73,50.42,12.53,17322.0,779008944.0,17.26,482.77,413.35,482.77,402.31,4.82,11.12,101.51,20.79,28082878118.0,7050981814.0
14,688160.SH,步科股份,44.7,4.68,11.69,28892.0,127637300.0,15.32,46.37,40.24,40.24,40.02,2.88,14.48,53.95,6.05,3754800000.0,891765000.0
15,300205.SZ,天喻信息,13.33,1.36,11.36,336503.0,439908928.0,17.88,13.8,11.66,11.89,11.97,2.17,7.9,-102.27,4.36,5732646480.0,5678430544.0
16,300911.SZ,亿田智能,71.3,7.25,11.32,21992.0,150873385.0,12.32,71.3,63.41,64.46,64.05,1.18,8.25,64.64,7.21,7605335710.0,1901335710.0
