,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,603215.SH,N比依,18.0,5.5,44.0,11935.0,21406356.0,24.0,18.0,15.0,15.0,12.5,,2.56,29.0,4.02,3359880000.0,839970000.0
1,301207.SZ,N华兰,70.3,13.42,23.59,229230.0,1704483872.0,17.18,79.78,70.01,75.0,56.88,,67.81,39.93,5.67,28120703000.0,2376585702.0
2,300869.SZ,康泰医学,41.2,6.87,20.01,168436.0,665614624.0,14.27,41.2,36.3,36.38,34.33,4.85,10.98,43.1,9.43,16554028160.0,6317595022.0
3,301085.SZ,亚康股份,44.88,7.48,20.0,86279.0,350932672.0,18.58,44.88,37.93,38.28,37.4,2.32,43.14,50.31,4.54,3590400000.0,897600000.0
4,300249.SZ,依米康,9.78,1.63,20.0,731171.0,705272960.0,8.34,9.78,9.1,9.1,8.15,1.3,22.88,102.7,6.58,4278458497.0,3124756142.0
5,301091.SZ,深城交,40.93,6.82,19.99,122130.0,460524896.0,21.49,40.93,33.6,34.0,34.11,2.45,36.28,71.15,3.52,6548800000.0,1377985398.0
6,301169.SZ,零点有数,62.84,10.47,19.99,118261.0,717097568.0,11.92,62.84,56.6,58.45,52.37,2.08,65.48,-465.17,7.16,4539547398.0,1134886881.0
7,300846.SZ,首都在线,16.63,2.77,19.99,258502.0,429888112.0,0.0,16.63,16.63,16.63,13.86,1.69,9.74,336.9,5.75,7754839687.0,4414570997.0
8,300738.SZ,奥飞数据,24.27,3.59,17.36,352486.0,832572416.0,11.07,24.6,22.31,22.66,20.68,6.08,9.32,56.29,6.57,9262515753.0,9182308257.0
9,300261.SZ,雅本化学,25.51,3.62,16.54,1771530.0,4481675520.0,19.19,26.27,22.07,22.23,21.89,1.05,18.69,122.26,11.43,24574024605.0,24173438550.0
10,301235.SZ,华康医疗,52.29,7.17,15.89,119087.0,568412704.0,25.09,54.14,42.82,43.5,45.12,1.58,51.19,128.86,3.7,5521824000.0,1216361509.0
11,300649.SZ,杭州园林,32.69,3.97,13.82,282117.0,827465744.0,26.67,34.26,26.6,26.88,28.72,2.18,27.32,89.63,8.1,4328698948.0,3375943701.0
12,300250.SZ,初灵信息,18.18,2.11,13.13,603152.0,1074871296.0,15.25,19.25,16.8,17.13,16.07,1.94,37.85,77.93,6.01,3999416418.0,2896766240.0
