,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,长江健康,002435.SZ,True,2021-11-09,4.80000245520048,2021-12-06,4.820000640929788,2021-11-25,5.049997854207239,5.27,5.049997854207239,,True,,,,
1,中原环保,000544.SZ,True,2021-11-09,6.1399798912952335,2021-12-13,6.149991300730701,2021-12-01,6.549988217945928,,,,False,,,,
2,达实智能,002421.SZ,True,2021-11-08,3.440008282843607,2021-12-07,3.49000524805272,2021-12-01,3.670007628486091,3.86,3.670007628486091,,True,,,,
3,康尼机电,603111.SH,True,2021-11-08,5.029983611477269,2021-12-07,5.0799943123341995,2021-12-01,5.299991056258764,,,,False,,,,
4,武进不锈,603878.SH,True,2021-11-08,6.259992881087135,2021-11-29,6.370003718536476,2021-11-23,6.560000360554345,7.0,6.560000360554345,,True,,,,
5,凯因科技,688687.SH,True,2021-12-07,22.850000343109304,2021-12-17,22.760015761405253,2021-12-14,23.50000901240073,27.36,23.50000901240073,,True,,,,
6,盘江股份,600395.SH,True,2021-11-16,6.990022523883031,2021-11-29,7.090017593971797,2021-11-24,7.39002092529846,,,,False,,,,
7,石英股份,603688.SH,True,2021-11-16,58.16008794787493,2021-12-20,58.4299783730321,2021-12-02,63.99009424983734,,,,False,,,,
8,武汉控股,600168.SH,True,2021-11-09,6.369994094096695,2021-11-29,6.370001706180202,2021-11-26,6.490001840205603,6.83,6.490001840205603,,True,,,,
9,北斗星通,002151.SZ,True,2021-12-02,38.79997773420711,2021-12-24,38.49998750754641,2021-12-14,39.60002226014936,,,,False,,,,
10,申达股份,600626.SH,True,2021-11-08,3.5500011262165945,2021-12-06,3.620001328973605,2021-12-01,3.799999005015238,3.98,3.799999005015238,,True,,,,
