,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2021-12-01,富奥股份,皇庭国际,*ST全新,中国天楹,华锦股份,深桑达A,华控赛格,国华网安,东旭蓝天,深康佳A
2021-12-02,富奥股份,皇庭国际,*ST全新,华锦股份,中国天楹,华控赛格,深桑达A,德赛电池,深康佳A,东旭蓝天
2021-12-03,富奥股份,华锦股份,*ST全新,东旭蓝天,中国天楹,南玻A,德赛电池,华控赛格,皇庭国际,深康佳A
2021-12-06,富奥股份,华锦股份,东旭蓝天,南玻A,德赛电池,中国天楹,华控赛格,*ST全新,深康佳A,中集集团
2021-12-07,富奥股份,南玻A,东旭蓝天,华锦股份,皇庭国际,德赛电池,方大集团,中国天楹,深桑达A,华控赛格
2021-12-08,富奥股份,德赛电池,南玻A,华锦股份,东旭蓝天,皇庭国际,北方国际,深桑达A,华控赛格,*ST全新
2021-12-09,德赛电池,富奥股份,华锦股份,南玻A,东旭蓝天,皇庭国际,方大集团,深桑达A,北方国际,国华网安
2021-12-10,德赛电池,华锦股份,皇庭国际,东旭蓝天,富奥股份,国华网安,飞亚达,南玻A,深桑达A,ST星源
2021-12-13,华锦股份,德赛电池,南玻A,东旭蓝天,富奥股份,中集集团,华控赛格,深桑达A,北方国际,中金岭南
2021-12-14,华锦股份,富奥股份,深桑达A,深赛格,德赛电池,华控赛格,东旭蓝天,南玻A,深圳华强,深圳能源
2021-12-15,华锦股份,富奥股份,德赛电池,东旭蓝天,深圳能源,深桑达A,深赛格,深南电A,华控赛格,北方国际
2021-12-16,富奥股份,华锦股份,德赛电池,东旭蓝天,深南电A,泛海控股,深圳能源,深桑达A,北方国际,深物业A
2021-12-17,德赛电池,东旭蓝天,华锦股份,富奥股份,深南电A,深圳能源,深深房A,泛海控股,深科技,深桑达A
2021-12-20,深深房A,中洲控股,神州高铁,德赛电池,东旭蓝天,泛海控股,大悦城,沙河股份,华锦股份,深桑达A
2021-12-21,中洲控股,神州高铁,泛海控股,大悦城,沙河股份,深深房A,德赛电池,深振业A,东旭蓝天,深物业A
2021-12-22,神州高铁,德赛电池,中洲控股,泛海控股,深桑达A,大悦城,沙河股份,华控赛格,深深房A,深物业A
2021-12-23,神州高铁,德赛电池,深桑达A,中洲控股,泛海控股,大悦城,深物业A,华控赛格,东旭蓝天,深深房A
2021-12-24,神州高铁,德赛电池,深桑达A,*ST全新,泛海控股,中洲控股,深物业A,大悦城,东旭蓝天,深深房A
2021-12-27,神州高铁,德赛电池,中洲控股,泛海控股,深物业A,深桑达A,大悦城,华控赛格,中国天楹,深南电A
2021-12-28,神州高铁,德赛电池,深桑达A,大悦城,深赛格,深天地A,中洲控股,深物业A,华控赛格,深深房A
