,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2021-11-08,皇庭国际,德赛电池,中国宝安,*ST全新,派林生物,深圳华强,深科技,川能动力,长虹华意,农产品
2021-11-09,皇庭国际,中国宝安,德赛电池,*ST全新,深圳华强,派林生物,川能动力,农产品,深科技,华联控股
2021-11-10,皇庭国际,*ST全新,德赛电池,深圳华强,中国宝安,丰原药业,长虹华意,华联控股,方大集团,深科技
2021-11-11,*ST全新,皇庭国际,深圳华强,德赛电池,中国宝安,华联控股,丰原药业,长虹华意,方大集团,深科技
2021-11-12,*ST全新,德赛电池,皇庭国际,丰原药业,中国天楹,华联控股,方大集团,深圳华强,长虹华意,中国宝安
2021-11-15,德赛电池,皇庭国际,*ST全新,中国天楹,方大集团,丰原药业,深圳华强,长虹华意,深纺织A,华联控股
2021-11-16,*ST全新,皇庭国际,德赛电池,中国天楹,深纺织A,方大集团,丰原药业,长虹华意,富奥股份,华联控股
2021-11-17,*ST全新,德赛电池,皇庭国际,深纺织A,中国天楹,方大集团,富奥股份,华联控股,深圳华强,长虹华意
2021-11-18,*ST全新,深纺织A,中国天楹,许继电气,德赛电池,方大集团,皇庭国际,富奥股份,深赛格,深圳华强
2021-11-19,*ST全新,许继电气,富奥股份,深纺织A,华联控股,德赛电池,方大集团,中国天楹,深圳华强,深中华A
2021-11-22,*ST全新,富奥股份,深纺织A,许继电气,中国天楹,华联控股,德赛电池,深圳华强,深赛格,深中华A
2021-11-23,富奥股份,*ST全新,许继电气,皇庭国际,深纺织A,华联控股,中国天楹,深赛格,深圳华强,中信海直
2021-11-24,富奥股份,*ST全新,许继电气,皇庭国际,华锦股份,深纺织A,深圳华强,国华网安,华联控股,中信海直
2021-11-25,许继电气,富奥股份,*ST全新,华锦股份,深纺织A,中国天楹,皇庭国际,深圳华强,德赛电池,中信海直
2021-11-26,富奥股份,许继电气,华锦股份,*ST全新,皇庭国际,中国天楹,丰原药业,中信海直,德赛电池,深圳华强
2021-11-29,许继电气,皇庭国际,富奥股份,华锦股份,*ST全新,丰原药业,中国天楹,中信海直,深纺织A,深桑达A
2021-11-30,许继电气,皇庭国际,*ST全新,华锦股份,富奥股份,丰原药业,中信海直,中国天楹,深康佳A,国华网安
2021-12-01,许继电气,富奥股份,皇庭国际,*ST全新,中国天楹,华锦股份,丰原药业,深桑达A,华控赛格,中信海直
2021-12-02,许继电气,富奥股份,皇庭国际,*ST全新,丰原药业,华锦股份,中国天楹,华控赛格,深桑达A,德赛电池
2021-12-03,许继电气,丰原药业,富奥股份,华锦股份,*ST全新,东旭蓝天,中国天楹,南玻A,德赛电池,中信海直
