,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,长江健康,002435.SZ,True,2021-11-05,4.78,2021-12-06,4.82,2021-11-25,5.05,,,,False,,,,
1,中原环保,000544.SZ,True,2021-11-03,6.04,2021-12-13,6.15,2021-12-01,6.55,,,,False,,,,
2,雅克科技,002409.SZ,True,2021-12-07,71.8,2021-12-08,71.79,2021-12-07,71.8,79.37,71.8,,True,,,,
3,凯因科技,688687.SH,True,2021-12-07,22.85,2021-12-17,22.76,2021-12-14,23.5,,,,False,,,,
4,盘江股份,600395.SH,True,2021-11-16,6.99,2021-11-29,7.09,2021-11-24,7.39,,,,False,,,,
5,石英股份,603688.SH,True,2021-11-16,58.16,2021-12-20,58.43,2021-12-02,63.99,,,,False,,,,
6,海波重科,300517.SZ,True,2021-11-03,12.71,2021-12-24,12.68,2021-12-03,14.38,,,,False,,,,
7,武汉控股,600168.SH,True,2021-11-05,6.27,2021-11-29,6.37,2021-11-26,6.49,6.76,6.49,,True,,,,
8,北斗星通,002151.SZ,True,2021-12-02,38.8,2021-12-24,38.5,2021-12-14,39.6,,,,False,,,,
9,中航光电,002179.SZ,True,2021-11-05,92.93,2021-12-13,93.9,2021-12-03,103.33,,,,False,,,,
10,全聚德,002186.SZ,True,2021-11-03,8.8,2021-11-29,8.83,2021-11-15,9.19,9.66,9.19,True,True,2.2222,True,5044128,2121961.9743589745
11,人民同泰,600829.SH,True,2021-11-08,5.7,2021-11-24,5.81,2021-11-15,5.82,6.45,5.82,,True,,,,
12,凯伦股份,300715.SZ,True,2021-11-10,18.08,2021-12-24,18.0,2021-12-09,19.86,,,,False,,,,
13,生益科技,600183.SH,True,2021-12-06,22.45,2021-12-20,22.37,2021-12-13,23.7,,,,False,,,,
14,银泰黄金,000975.SZ,True,2021-11-03,8.84,2021-12-27,8.76,2021-11-11,9.93,,,,False,,,,
15,欧普照明,603515.SH,True,2021-11-10,19.22,2021-11-29,19.37,2021-11-15,20.19,21.17,20.19,,True,,,,
16,航天电器,002025.SZ,True,2021-11-05,73.8,2021-12-13,73.35,2021-11-22,83.45,,,,False,,,,
17,富煌钢构,002743.SZ,True,2021-11-03,6.23,2021-11-29,6.23,2021-11-17,6.99,,,,False,,,,
18,南兴股份,002757.SZ,True,2021-11-03,13.72,2021-12-07,13.86,2021-11-30,14.9,,,,False,,,,
19,韦尔股份,603501.SH,True,2021-11-18,264.64,2021-12-01,266.95,2021-11-25,282.6,310.0,282.6,,True,,,,
20,中原高速,600020.SH,True,2021-11-03,3.08,2021-11-29,3.13,2021-11-23,3.18,,,,False,,,,
21,杭州园林,300649.SZ,True,2021-11-10,14.91,2021-11-29,15.13,2021-11-12,16.0,,,,False,,,,
22,惠云钛业,300891.SZ,True,2021-11-05,15.7,2021-12-24,15.57,2021-12-01,17.44,,,,False,,,,
23,青农商行,002958.SZ,True,2021-11-10,3.78,2021-11-29,3.82,2021-11-19,3.85,,,,False,,,,
24,海昌新材,300885.SZ,True,2021-11-03,18.28,2021-12-24,18.53,2021-11-24,22.9,,,,False,,,,
25,平煤股份,601666.SH,True,2021-11-16,7.48,2021-11-26,7.54,2021-11-24,7.89,8.27,7.89,,True,,,,
26,宏柏新材,605366.SH,True,2021-11-05,12.68,2021-12-24,12.86,2021-11-24,15.06,,,,False,,,,
27,天域生态,603717.SH,True,2021-11-08,13.54,2021-12-06,13.57,2021-11-17,14.65,,,,False,,,,
28,塔牌集团,002233.SZ,True,2021-11-05,9.87,2021-11-29,9.9,2021-11-11,10.42,,,,False,,,,
29,太龙药业,600222.SH,True,2021-12-07,7.78,2021-12-17,7.69,2021-12-14,8.06,8.39,8.06,,True,,,,
30,常熟银行,601128.SH,True,2021-11-10,6.68,2021-12-27,6.61,2021-12-07,7.12,,,,False,,,,
31,兴图新科,688081.SH,True,2021-11-03,23.1,2021-12-13,23.14,2021-11-24,25.89,,,,False,,,,
32,福昕软件,688095.SH,True,2021-11-08,139.93,2021-12-20,137.39,2021-11-24,165.97,,,,False,,,,
33,海南瑞泽,002596.SZ,True,2021-11-03,3.51,2021-11-29,3.55,2021-11-12,3.74,,,,False,,,,
34,合纵科技,300477.SZ,True,2021-11-16,8.0,2021-12-27,8.12,2021-11-22,9.66,,,,False,,,,
35,潞安环能,601699.SH,True,2021-11-16,10.65,2021-11-30,10.8,2021-11-24,11.4,,,,False,,,,
36,迈克生物,300463.SZ,True,2021-11-08,27.73,2021-12-23,27.66,2021-11-30,31.25,,,,False,,,,
37,中国卫通,601698.SH,True,2021-11-03,14.05,2021-12-20,14.03,2021-11-15,15.33,,,,False,,,,
38,金晶科技,600586.SH,True,2021-11-16,8.98,2021-12-27,8.87,2021-12-07,9.8,,,,False,,,,
39,卓郎智能,600545.SH,True,2021-11-05,2.64,2021-11-29,2.66,2021-11-19,2.79,3.02,2.79,,True,,,,
40,金达莱,688057.SH,True,2021-11-05,24.83,2021-12-07,25.23,2021-11-15,27.17,,,,False,,,,
41,塞力医疗,603716.SH,True,2021-11-08,13.1,2021-12-24,13.35,2021-12-03,15.1,,,,False,,,,
42,狄耐克,300884.SZ,True,2021-11-18,18.17,2021-12-07,18.25,2021-12-01,20.12,,,,False,,,,
43,永和智控,002795.SZ,True,2021-11-08,11.04,2021-12-24,11.21,2021-12-15,13.98,,,,False,,,,
44,小熊电器,002959.SZ,True,2021-11-03,56.75,2021-12-03,56.88,2021-11-24,64.44,66.45,64.44,True,True,6.5416,True,4452730,2544175.358974359
45,东方银星,600753.SH,True,2021-11-18,15.99,2021-12-24,16.14,2021-12-10,20.39,,,,False,,,,
46,达安基因,002030.SZ,True,2021-11-22,18.73,2021-11-24,18.76,2021-11-23,18.82,19.48,18.82,,True,,,,
47,农业银行,601288.SH,True,2021-11-10,2.91,2021-11-30,2.91,2021-11-19,2.95,,,,False,,,,
48,茂业商业,600828.SH,True,2021-11-10,3.36,2021-11-29,3.37,2021-11-16,3.45,3.59,3.45,,True,,,,
49,渤海化学,600800.SH,True,2021-11-03,4.24,2021-11-29,4.29,2021-11-18,4.42,4.65,4.42,,True,,,,
50,张家港行,002839.SZ,True,2021-11-30,5.67,2021-12-14,5.66,2021-12-09,5.84,,,,False,,,,
51,兴发集团,600141.SH,True,2021-12-07,37.51,2021-12-24,37.38,2021-12-10,42.57,,,,False,,,,
