,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,中原环保,000544.SZ,True,2021-08-27,6.1,2021-10-28,5.99,2021-09-23,7.05,,,,False,,,,
1,三祥新材,603663.SH,True,2021-09-29,19.07,2021-10-12,18.78,2021-09-30,19.72,,,,False,,,,
2,江铃汽车,000550.SZ,True,2021-09-29,15.42,2021-10-28,15.32,2021-10-13,16.81,,,,False,,,,
3,西部超导,688122.SH,True,2021-10-08,70.78,2021-10-12,69.7,2021-10-08,70.78,77.67,70.78,,True,,,,
4,武进不锈,603878.SH,True,2021-09-29,6.4,2021-10-28,6.29,2021-10-19,6.74,,,,False,,,,
5,博俊科技,300926.SZ,True,2021-09-29,19.37,2021-10-27,19.24,2021-10-13,20.58,,,,False,,,,
6,深华发A,000020.SZ,True,2021-09-29,8.61,2021-10-28,8.5,2021-10-11,9.02,,,,False,,,,
7,亚玛顿,002623.SZ,True,2021-09-01,34.04,2021-10-28,33.89,2021-09-08,44.67,,,,False,,,,
8,中航光电,002179.SZ,True,2021-10-08,79.59,2021-10-12,78.94,2021-10-11,82.15,92.1,82.15,,True,,,,
9,道恩股份,002838.SZ,True,2021-09-02,14.67,2021-10-27,14.47,2021-09-16,16.57,,,,False,,,,
10,伊力特,600197.SH,True,2021-08-31,24.34,2021-10-28,24.5,2021-09-27,29.77,,,,False,,,,
11,人民同泰,600829.SH,True,2021-09-29,5.77,2021-10-28,5.66,2021-10-13,6.69,,,,False,,,,
12,南兴股份,002757.SZ,True,2021-09-29,13.5,2021-10-13,13.47,2021-10-08,13.89,,,,False,,,,
13,韦尔股份,603501.SH,True,2021-09-16,227.0,2021-10-12,226.3,2021-09-27,250.0,266.0,250.0,,True,,,,
14,亿帆医药,002019.SZ,True,2021-09-01,15.16,2021-10-21,15.05,2021-09-07,17.66,,,,False,,,,
15,美利云,000815.SZ,True,2021-08-26,5.42,2021-10-28,5.34,2021-09-02,8.53,,,,False,,,,
