,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2021-12-10,京城股份,九安医疗,启明信息,万里股份,陕西金叶,中锐股份,财信发展,春兰股份,湖南天雁,跃岭股份
2021-12-13,京城股份,九安医疗,启明信息,陕西金叶,万里股份,中锐股份,财信发展,中文在线,春兰股份,湖南天雁
2021-12-14,京城股份,九安医疗,启明信息,陕西金叶,中锐股份,万里股份,湖南天雁,财信发展,跃岭股份,春兰股份
2021-12-15,九安医疗,陕西金叶,启明信息,财信发展,万里股份,中锐股份,跃岭股份,中文在线,湖南天雁,旗天科技
2021-12-16,陕西金叶,启明信息,九安医疗,中锐股份,财信发展,万里股份,宣亚国际,跃岭股份,中文在线,湖南天雁
2021-12-17,陕西金叶,中锐股份,财信发展,九安医疗,启明信息,宣亚国际,万里股份,跃岭股份,湖南天雁,蓝科高新
2021-12-20,陕西金叶,中锐股份,财信发展,九安医疗,启明信息,跃岭股份,湖南天雁,宣亚国际,蓝科高新,中铝国际
2021-12-21,陕西金叶,财信发展,中锐股份,九安医疗,湖南天雁,宣亚国际,启明信息,蓝科高新,金山股份,跃岭股份
2021-12-22,中锐股份,陕西金叶,九安医疗,宣亚国际,财信发展,启明信息,湖南天雁,龙洲股份,国新健康,蓝科高新
2021-12-23,中锐股份,宣亚国际,陕西金叶,九安医疗,龙洲股份,启明信息,财信发展,湖南天雁,国新健康,湖北广电
2021-12-24,九安医疗,宣亚国际,中锐股份,龙洲股份,陕西金叶,湖北广电,陇神戎发,国新健康,启明信息,湖南天雁
2021-12-27,宣亚国际,九安医疗,中锐股份,陇神戎发,龙洲股份,陕西金叶,雅本化学,财信发展,启明信息,国新健康
2021-12-28,雅本化学,九安医疗,宣亚国际,中锐股份,陇神戎发,龙洲股份,国新健康,陕西金叶,延华智能,启明信息
2021-12-29,九安医疗,中锐股份,宣亚国际,陇神戎发,启明信息,龙洲股份,国新健康,岳阳兴长,财信发展,龙津药业
2021-12-30,九安医疗,陇神戎发,中锐股份,宣亚国际,锋尚文化,岳阳兴长,龙津药业,财信发展,迦南科技,国新健康
2021-12-31,西仪股份,九安医疗,中锐股份,龙津药业,宣亚国际,博瑞传播,岳阳兴长,精华制药,锋尚文化,迦南科技
2022-01-04,中锐股份,西仪股份,九安医疗,龙津药业,宣亚国际,博瑞传播,岳阳兴长,精华制药,湖北广电,锋尚文化
2022-01-05,中锐股份,龙津药业,宣亚国际,九安医疗,精华制药,西仪股份,博瑞传播,湖北广电,岳阳兴长,锋尚文化
2022-01-06,龙津药业,九安医疗,中锐股份,宣亚国际,红日药业,精华制药,西仪股份,博瑞传播,国新健康,岳阳兴长
2022-01-07,九安医疗,龙津药业,湖北广电,中锐股份,宣亚国际,精华制药,博瑞传播,国新健康,红日药业,冰山冷热
