,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,科兴制药,688136.SH,True,2021-10-29,25.57,2021-11-02,25.6,2021-11-01,26.0,29.45,26.0,,True,,,,
1,中原环保,000544.SZ,True,2021-10-28,5.99,2021-11-03,6.04,2021-11-01,6.16,6.52,6.16,,True,,,,
2,三祥新材,603663.SH,True,2021-10-12,18.78,2021-11-05,19.0,2021-10-26,21.64,22.62,21.64,,True,,,,
3,江铃汽车,000550.SZ,True,2021-10-28,15.32,2021-11-02,15.4,2021-11-01,15.66,16.99,15.66,,True,,,,
4,奇精机械,603677.SH,True,2021-10-28,10.66,2021-11-02,10.73,2021-11-01,10.93,12.07,10.93,,True,,,,
5,泰尔股份,002347.SZ,True,2021-10-28,4.01,2021-11-03,4.02,2021-11-01,4.11,4.55,4.11,,True,,,,
6,达实智能,002421.SZ,True,2021-10-28,3.33,2021-11-02,3.34,2021-11-01,3.42,3.62,3.42,,True,,,,
7,恒丰纸业,600356.SH,True,2021-10-28,6.8,2021-11-02,6.81,2021-10-29,6.93,7.85,6.93,,True,,,,
8,新天科技,300259.SZ,True,2021-10-27,4.3,2021-11-02,4.36,2021-11-01,4.47,4.94,4.47,,True,,,,
9,通光线缆,300265.SZ,True,2021-10-29,9.83,2021-11-03,9.83,2021-11-01,10.06,11.39,10.06,,True,,,,
10,北斗星通,002151.SZ,True,2021-10-28,39.06,2021-12-02,38.8,2021-11-10,41.37,,,,False,,,,
11,深华发A,000020.SZ,True,2021-10-28,8.5,2021-11-03,8.58,2021-11-01,8.76,,,,False,,,,
12,神州数码,000034.SZ,True,2021-10-28,14.9,2021-11-02,14.94,2021-11-01,15.0,15.83,15.0,,True,,,,
13,梦百合,603313.SH,True,2021-10-28,15.2,2021-11-02,15.26,2021-11-01,15.53,17.17,15.53,,True,,,,
14,欧科亿,688308.SH,True,2021-10-28,67.6,2021-12-03,67.36,2021-11-04,76.63,,,,False,,,,
15,居然之家,000785.SZ,True,2021-10-27,4.7,2021-11-29,4.75,2021-11-19,5.03,,,,False,,,,
16,道恩股份,002838.SZ,True,2021-10-27,14.47,2021-11-02,14.67,2021-11-01,14.92,16.99,14.92,,True,,,,
17,新乡化纤,000949.SZ,True,2021-11-05,5.89,2021-11-16,5.8,2021-11-11,6.0,,,,False,,,,
18,人民同泰,600829.SH,True,2021-10-28,5.66,2021-11-08,5.7,2021-10-29,5.86,,,,False,,,,
19,银泰黄金,000975.SZ,True,2021-10-13,8.79,2021-11-03,8.84,2021-10-19,9.52,,,,False,,,,
20,三木集团,000632.SZ,True,2021-10-28,3.05,2021-11-03,3.06,2021-10-29,3.11,3.45,3.11,,True,,,,
21,欧普照明,603515.SH,True,2021-10-28,19.02,2021-11-10,19.22,2021-11-02,19.81,,,,False,,,,
22,科前生物,688526.SH,True,2021-10-28,25.07,2021-11-02,25.39,2021-11-01,25.42,26.99,25.42,,True,,,,
23,鸿远电子,603267.SH,True,2021-10-18,149.27,2021-11-05,151.0,2021-11-02,166.46,176.8,166.46,,True,,,,
24,南兴股份,002757.SZ,True,2021-10-13,13.47,2021-11-03,13.72,2021-10-26,14.15,,,,False,,,,
