,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
0,西部超导,688122.SH,True,2022-01-27 00:00:00,74.78,2022-02-22 00:00:00,74.14,2022-01-28 00:00:00,81.0,,,,False,,,,
1,神州高铁,000008.SZ,True,2022-01-25 00:00:00,2.52,2022-02-07 00:00:00,2.51,2022-01-26 00:00:00,2.59,2.8,2.59,,True,,,,
2,中航光电,002179.SZ,True,2022-01-21 00:00:00,83.4,2022-02-22 00:00:00,81.79,2022-01-28 00:00:00,88.58,,,,False,,,,
3,融捷股份,002192.SZ,True,2022-01-28 00:00:00,92.36,2022-02-08 00:00:00,91.1,2022-02-07 00:00:00,93.0,122.01,93.0,,True,,,,
4,伊力特,600197.SH,True,2022-01-28 00:00:00,22.43,2022-02-07 00:00:00,22.16,2022-01-28 00:00:00,22.43,23.74,22.43,,True,,,,
5,生益科技,600183.SH,True,2022-01-28 00:00:00,19.55,2022-02-22 00:00:00,19.31,2022-02-10 00:00:00,20.08,,,,False,,,,
6,巨轮智能,002031.SZ,True,2022-01-25 00:00:00,1.94,2022-02-24 00:00:00,1.91,2022-02-09 00:00:00,2.09,,,,False,,,,
7,远大控股,000626.SZ,True,2022-01-27 00:00:00,20.2,2022-02-24 00:00:00,19.99,2022-02-09 00:00:00,22.54,,,,False,,,,
8,亿帆医药,002019.SZ,True,2021-12-24 00:00:00,16.6,2022-02-22 00:00:00,16.51,2022-01-14 00:00:00,20.93,,,,False,,,,
9,青农商行,002958.SZ,True,2022-01-28 00:00:00,3.74,2022-02-25 00:00:00,3.71,2022-02-10 00:00:00,3.89,,,,False,,,,
10,顺网科技,300113.SZ,True,2022-01-27 00:00:00,13.55,2022-02-14 00:00:00,13.29,2022-02-09 00:00:00,14.12,14.72,14.12,,True,,,,
11,圣邦股份,300661.SZ,True,2022-01-13 00:00:00,272.57,2022-01-28 00:00:00,275.19,2022-01-18 00:00:00,302.6,343.1,302.6,,True,,,,
12,天域生态,603717.SH,True,2022-01-05 00:00:00,12.71,2022-01-21 00:00:00,12.72,2022-01-11 00:00:00,12.85,15.13,12.85,,True,,,,
13,长飞光纤,601869.SH,True,2022-01-27 00:00:00,27.95,2022-02-14 00:00:00,27.91,2022-02-09 00:00:00,29.41,30.91,29.41,,True,,,,
14,任子行,300311.SZ,True,2022-01-27 00:00:00,7.93,2022-02-07 00:00:00,7.79,2022-01-28 00:00:00,8.01,8.6,8.01,,True,,,,
15,中国卫通,601698.SH,True,2022-01-27 00:00:00,13.28,2022-02-14 00:00:00,13.22,2022-02-09 00:00:00,13.6,,,,False,,,,
16,胜宏科技,300476.SZ,True,2022-01-28 00:00:00,25.9,2022-02-14 00:00:00,25.53,2022-02-07 00:00:00,26.82,,,,False,,,,
17,金徽酒,603919.SH,True,2022-01-28 00:00:00,31.38,2022-02-08 00:00:00,31.1,2022-02-07 00:00:00,31.52,,,,False,,,,
18,百润股份,002568.SZ,True,2022-01-28 00:00:00,43.4,2022-02-14 00:00:00,43.25,2022-02-10 00:00:00,45.19,,,,False,,,,
19,永吉股份,603058.SH,True,2022-01-27 00:00:00,7.85,2022-02-24 00:00:00,7.75,2022-02-09 00:00:00,8.53,,,,False,,,,
20,启明信息,002232.SZ,True,2022-01-28 00:00:00,16.6,2022-02-11 00:00:00,16.35,2022-02-09 00:00:00,17.45,18.31,17.45,,True,,,,
21,徐工机械,000425.SZ,True,2022-01-27 00:00:00,5.6,2022-02-24 00:00:00,5.56,2022-02-10 00:00:00,5.91,,,,False,,,,
22,惠博普,002554.SZ,True,2021-12-27 00:00:00,3.3,2022-01-25 00:00:00,3.36,2022-01-12 00:00:00,4.16,,,,False,,,,
23,克劳斯,600579.SH,True,2022-01-27 00:00:00,6.88,2022-02-24 00:00:00,6.86,2022-02-09 00:00:00,7.33,,,,False,,,,
24,塞力医疗,603716.SH,True,2021-12-24 00:00:00,13.35,2022-02-24 00:00:00,13.43,2022-01-19 00:00:00,21.96,,,,False,,,,
25,轻纺城,600790.SH,True,2021-12-24 00:00:00,3.22,2022-01-27 00:00:00,3.23,2022-01-17 00:00:00,3.7,,,,False,,,,
26,宇信科技,300674.SZ,True,2021-12-24 00:00:00,20.63,2022-02-24 00:00:00,20.81,2022-01-17 00:00:00,27.1,,,,False,,,,
27,凯立新材,688269.SH,True,2022-01-27 00:00:00,100.19,2022-02-11 00:00:00,99.4,2022-02-09 00:00:00,104.94,110.88,104.94,,True,,,,
28,达安基因,002030.SZ,True,2022-01-27 00:00:00,17.62,2022-02-24 00:00:00,17.59,2022-02-18 00:00:00,18.36,,,,False,,,,
29,农业银行,601288.SH,True,2021-12-24 00:00:00,2.94,2022-01-17 00:00:00,2.95,2022-01-13 00:00:00,3.01,,,,False,,,,
30,复洁环保,688335.SH,True,2021-12-24 00:00:00,31.83,2022-02-11 00:00:00,32.1,2022-01-10 00:00:00,35.22,,,,False,,,,
31,新易盛,300502.SZ,True,2022-01-13 00:00:00,34.38,2022-01-28 00:00:00,34.93,2022-01-18 00:00:00,38.42,,,,False,,,,
32,京运通,601908.SH,True,2022-01-28 00:00:00,8.02,2022-02-14 00:00:00,7.97,2022-02-09 00:00:00,8.28,8.7,8.28,,True,,,,
33,精锻科技,300258.SZ,True,2021-12-31 00:00:00,12.81,2022-02-22 00:00:00,12.79,2022-01-17 00:00:00,15.8,,,,False,,,,
34,聚辰股份,688123.SH,True,2021-12-24 00:00:00,61.61,2022-02-09 00:00:00,60.7,2022-01-17 00:00:00,74.75,,,,False,,,,
35,柯力传感,603662.SH,True,2021-12-24 00:00:00,21.65,2022-01-27 00:00:00,21.65,2022-01-17 00:00:00,24.7,,,,False,,,,
