,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
485,江山股份,600389.SH,True,2021-11-09,35.24,2021-11-11,34.91,2021-11-09,35.24,46.23,35.24,,True,,,,
486,中铝国际,601068.SH,True,2021-11-05,3.8,2021-11-16,3.78,2021-11-12,3.93,,,,False,,,,
487,海南海药,000566.SZ,True,2021-10-26,3.99,2021-10-28,4.01,2021-10-27,4.05,4.56,4.05,,True,,,,
488,荣科科技,300290.SZ,True,2021-10-13,5.52,2021-11-05,5.52,2021-10-21,7.09,,,,False,,,,
489,卫宁健康,300253.SZ,True,2021-10-26,12.45,2021-10-28,12.47,2021-10-27,12.49,15.72,12.49,,True,,,,
490,明微电子,688699.SH,True,2021-10-28,209.58,2021-11-18,206.6,2021-11-09,228.78,,,,False,,,,
491,青岛双星,000599.SZ,True,2021-10-25,3.64,2021-10-27,3.66,2021-10-27,3.66,3.91,3.66,,True,,,,
492,东方锆业,002167.SZ,True,2021-11-05,7.55,2021-11-16,7.42,2021-11-12,7.78,8.73,7.78,,True,,,,
493,瑞丰新材,300910.SZ,True,2021-09-29,73.11,2021-11-10,73.01,2021-10-20,84.1,,,,False,,,,
494,创新医疗,002173.SZ,True,2021-10-27,6.06,2021-11-16,6.05,2021-11-02,6.26,,,,False,,,,
495,中毅达,600610.SH,True,2021-10-15,15.6,2021-11-29,15.6,2021-11-04,20.86,,,,False,,,,
496,湘油泵,603319.SH,True,2021-09-29,18.81,2021-11-03,18.87,2021-10-22,20.59,31.3,20.59,,True,,,,
497,海通证券,600837.SH,True,2021-10-28,12.03,2021-11-30,11.83,2021-11-11,12.66,,,,False,,,,
498,易明医药,002826.SZ,True,2021-09-29,8.34,2021-10-28,8.39,2021-10-14,8.83,9.79,8.83,,True,,,,
499,比音勒芬,002832.SZ,True,2021-11-09,24.35,2021-11-30,23.94,2021-11-18,25.4,,,,False,,,,
500,华兰生物,002007.SZ,True,2021-09-29,27.68,2021-10-27,27.95,2021-10-14,30.6,,,,False,,,,
501,科拓生物,300858.SZ,True,2021-10-20,25.8,2021-10-27,25.85,2021-10-22,26.5,30.2,26.5,,True,,,,
502,超捷股份,301005.SZ,True,2021-09-29,56.1,2021-11-10,55.91,2021-10-26,60.09,,,,False,,,,
503,信息发展,300469.SZ,True,2021-09-30,11.92,2021-10-27,12.09,2021-10-18,13.07,17.74,13.07,,True,,,,
504,龙蟠科技,603906.SH,True,2021-09-29,45.7,2021-11-25,44.9,2021-10-29,70.58,,,,False,,,,
505,凯利泰,300326.SZ,True,2021-10-26,9.81,2021-10-28,9.81,2021-10-27,10.05,10.68,10.05,,True,,,,
506,山鹰国际,600567.SH,True,2021-10-27,3.2,2021-11-29,3.16,2021-11-08,3.33,,,,False,,,,
507,大连重工,002204.SZ,True,2021-10-15,3.71,2021-10-28,3.72,2021-10-27,3.89,4.2,3.89,,True,,,,
508,城市传媒,600229.SH,True,2021-09-29,5.92,2021-10-27,5.92,2021-10-11,6.19,6.73,6.19,,True,,,,
509,富通信息,000836.SZ,True,2021-09-29,2.34,2021-10-28,2.36,2021-10-11,2.72,,,,False,,,,
510,兆丰股份,300695.SZ,True,2021-09-29,49.06,2021-10-27,49.66,2021-10-18,53.98,57.8,53.98,,True,,,,
511,广誉远,600771.SH,True,2021-09-29,27.4,2021-11-12,27.63,2021-10-14,32.74,,,,False,,,,
512,秋田微,300939.SZ,True,2021-10-25,46.05,2021-10-27,46.81,2021-10-27,46.81,55.22,46.81,,True,,,,
513,雅戈尔,600177.SH,True,2021-10-18,6.37,2021-10-27,6.41,2021-10-22,6.56,,,,False,,,,
514,莱茵生物,002166.SZ,True,2021-10-13,8.2,2021-11-03,8.33,2021-10-20,8.98,9.27,8.98,True,True,0.9804,True,19138207,14084080.41025641
515,上海天洋,603330.SH,True,2021-10-12,16.1,2021-10-28,16.19,2021-10-20,17.72,20.6,17.72,,True,,,,
516,科大国创,300520.SZ,True,2021-10-25,17.91,2021-10-27,18.05,2021-10-26,18.37,20.59,18.37,,True,,,,
517,亚太药业,002370.SZ,True,2021-10-26,4.08,2021-10-27,4.08,2021-10-26,4.08,4.21,4.08,,True,,,,
518,*ST达志,300530.SZ,True,2021-10-22,35.96,2021-11-24,35.9,2021-10-28,43.22,,,,False,,,,
519,ST松炀,603863.SH,True,2021-09-29,7.77,2021-10-27,7.84,2021-10-13,8.06,8.88,8.06,,True,,,,
520,联美控股,600167.SH,True,2021-11-09,8.06,2021-11-10,8.0,2021-11-09,8.06,,,,False,,,,
521,悦心健康,002162.SZ,True,2021-09-29,4.32,2021-11-05,4.33,2021-10-20,5.16,,,,False,,,,
522,江特电机,002176.SZ,True,2021-10-15,19.49,2021-11-16,19.64,2021-10-27,24.83,,,,False,,,,
523,仕佳光子,688313.SH,True,2021-09-29,10.39,2021-10-28,10.51,2021-10-13,11.34,12.9,11.34,,True,,,,
524,鼎龙股份,300054.SZ,True,2021-10-22,18.49,2021-10-28,18.79,2021-10-26,19.46,26.48,19.46,,True,,,,
525,中国人保,601319.SH,True,2021-11-09,4.69,2021-11-30,4.65,2021-11-16,4.9,,,,False,,,,
526,韶能股份,000601.SZ,True,2021-10-22,4.76,2021-11-05,4.76,2021-10-28,5.02,,,,False,,,,
527,永新光学,603297.SH,True,2021-10-12,55.5,2021-10-27,56.08,2021-10-22,59.85,111.01,59.85,,True,,,,
528,索菲亚,002572.SZ,True,2021-10-20,16.32,2021-10-27,16.48,2021-10-22,17.96,,,,False,,,,
529,紫金矿业,601899.SH,True,2021-09-29,10.02,2021-11-30,10.15,2021-10-19,11.8,,,,False,,,,
530,杭州高新,300478.SZ,True,2021-09-29,8.13,2021-10-28,8.21,2021-10-18,8.89,9.98,8.89,,True,,,,
531,新疆火炬,603080.SH,True,2021-11-02,14.59,2021-11-12,14.45,2021-11-08,15.08,16.58,15.08,,True,,,,
532,华灿光电,300323.SZ,True,2021-09-29,11.43,2021-11-05,11.47,2021-10-15,13.21,,,,False,,,,
533,唐人神,002567.SZ,True,2021-10-15,6.08,2021-10-28,6.12,2021-10-19,6.5,,,,False,,,,
534,诺普信,002215.SZ,True,2021-11-05,5.61,2021-11-10,5.59,2021-11-08,5.62,5.86,5.62,,True,,,,
535,清新环境,002573.SZ,True,2021-10-15,5.8,2021-10-28,5.82,2021-10-21,6.18,6.65,6.18,,True,,,,
536,祥源文化,600576.SH,True,2021-10-25,4.59,2021-10-28,4.6,2021-10-27,4.7,,,,False,,,,
537,新开源,300109.SZ,True,2021-10-15,16.09,2021-10-27,16.39,2021-10-26,17.28,22.14,17.28,,True,,,,
538,西麦食品,002956.SZ,True,2021-10-18,17.38,2021-10-27,17.44,2021-10-22,18.29,,,,False,,,,
539,上实发展,600748.SH,True,2021-11-08,3.77,2021-11-18,3.75,2021-11-11,3.93,,,,False,,,,
540,建投能源,000600.SZ,True,2021-10-15,4.49,2021-11-15,4.45,2021-10-28,5.18,,,,False,,,,
541,中国平安,601318.SH,True,2021-09-30,48.36,2021-11-30,48.22,2021-10-22,54.29,,,,False,,,,
542,汉商集团,600774.SH,True,2021-09-30,16.68,2021-11-26,16.55,2021-11-04,18.62,,,,False,,,,
543,金种子酒,600199.SH,True,2021-10-18,16.43,2021-11-30,16.43,2021-11-01,19.53,,,,False,,,,
544,御银股份,002177.SZ,True,2021-10-18,5.18,2021-10-28,5.22,2021-10-20,5.72,6.69,5.72,,True,,,,
545,新世界,600628.SH,True,2021-11-09,7.27,2021-11-10,7.24,2021-11-09,7.27,,,,False,,,,
546,燕麦科技,688312.SH,True,2021-10-12,24.49,2021-10-27,24.75,2021-10-26,25.35,28.59,25.35,,True,,,,
547,海南发展,002163.SZ,True,2021-10-21,13.15,2021-11-30,12.91,2021-10-25,14.23,,,,False,,,,
