,股票名称,股票代码,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手
85,农业银行,601288.SH,True,2021-11-30,2.9099986198797936,2021-12-03,2.9299990403942267,2021-12-01,2.9299990403942267,2.99,2.9299990403942267,True,True,1.0135,True,419049015,210144660.56410256
105,科伦药业,002422.SZ,True,2021-11-12,18.17998239659993,2021-12-20,18.109977391967664,2021-12-01,19.259974572879734,20.18,19.259974572879734,True,True,4.1817,True,40045777,10884127.692307692
159,田中精机,300461.SZ,True,2021-12-13,19.270005881985227,2021-12-24,18.899983127351582,2021-12-16,20.259999580602916,23.57,20.259999580602916,True,True,20.0102,True,3369860,2778091.435897436
160,中国石油,601857.SH,True,2021-11-30,4.7100078445276115,2021-12-15,4.830006720862308,2021-12-09,5.080008386561785,5.27,5.080008386561785,True,True,5.8233,True,421615754,128454845.64102565
166,邮储银行,601658.SH,True,2021-11-30,5.079997539732802,2021-12-31,5.0999961161671346,2021-12-07,5.370000371197165,5.52,5.370000371197165,True,True,4.5455,True,287432511,108609665
322,五矿资本,600390.SH,True,2021-11-29,5.080012144670336,2021-12-14,5.180008045230852,2021-12-09,5.290010978876115,5.43,5.290010978876115,True,True,1.306,True,37866191,20786623.64102564
700,中红医疗,300981.SZ,True,2021-11-12,74.86013614805971,2021-12-06,76.58022560294896,2021-11-30,83.48019392553637,91.47,83.48019392553637,True,True,15.0421,True,7638486,1484499.5384615385
743,杭钢股份,600126.SH,True,2021-11-12,4.91000496793785,2021-12-14,5.049993670758682,2021-11-23,5.160001082188271,5.27,5.160001082188271,True,True,1.3462,True,33586551,19749070.128205128
798,九鼎投资,600053.SH,True,2021-12-06,15.299999055746222,2021-12-24,15.039990954951913,2021-12-10,16.489993955162532,17.0,16.489993955162532,True,True,10.0324,True,9877026,3009132
826,中国银行,601988.SH,True,2021-11-30,3.049995179443291,2021-12-14,3.049999085586186,2021-12-09,3.0699981468145556,3.14,3.0699981468145556,True,True,1.6181,True,318936314,100285673.05128205
873,五洋停车,300420.SZ,True,2021-12-07,3.640003248671363,2021-12-24,3.610000168057649,2021-12-21,3.8600011957757214,3.94,3.8600011957757214,True,True,1.0256,True,46317734,21701208.615384616
910,莱宝高科,002106.SZ,True,2021-11-29,10.739999537046417,2021-12-20,10.900005900807233,2021-11-30,11.810004210923278,12.09,11.810004210923278,True,True,4.766,True,39943653,16226001.512820512
962,新城控股,601155.SH,True,2021-12-15,29.00994485920855,2021-12-30,28.40997922850966,2021-12-21,30.35996980224397,31.55,30.35996980224397,True,True,7.24,True,44334873,14464244.871794872
1264,中信银行,601998.SH,True,2021-11-22,4.490001189282333,2021-12-20,4.519999275460143,2021-12-09,4.580003022930025,4.7,4.580003022930025,True,True,1.5119,True,38148834,17676453.769230768
1298,马钢股份,600808.SH,True,2021-11-30,3.610006345928898,2021-12-31,3.690002551173233,2021-12-17,3.9400109933707266,4.07,3.9400109933707266,True,True,5.4404,True,245344468,109593264.76923077
1299,海晨股份,300873.SZ,True,2021-11-29,47.96995620824868,2021-12-27,48.00998159874747,2021-12-21,52.32997753032797,53.5,52.32997753032797,True,True,0.9434,True,3746345,1565851.923076923
1352,海默科技,300084.SZ,True,2021-11-12,5.259998401001617,2021-12-14,5.390004158339875,2021-11-17,5.880000669235069,6.12,5.880000669235069,True,True,3.9049,True,44749260,19514730.974358976
1374,苏交科,300284.SZ,True,2021-11-26,6.13999351626601,2021-12-24,6.259998656242206,2021-12-07,6.749999621328415,6.9,6.749999621328415,True,True,1.3216,True,34286804,9780094.128205128
1453,秋田微,300939.SZ,True,2021-12-07,50.7099906463674,2021-12-24,49.69993466157862,2021-12-16,53.79993657198104,60.17,53.79993657198104,True,True,20.004,True,6353800,1472256.641025641
1598,苏农银行,603323.SH,True,2021-11-26,4.770001998274648,2021-12-27,4.689999293146903,2021-12-09,4.969994784123381,5.07,4.969994784123381,True,True,2.4242,True,24017291,12953734.153846154
1689,海澜之家,600398.SH,True,2021-11-23,6.270016871918533,2021-12-03,6.290017435076148,2021-11-24,6.440015839366859,6.57,6.440015839366859,True,True,0.4587,True,13915049,13143098.666666666
