,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比
0,000953.SZ,河化股份,8.34,10.03,0.33,26.68,1.22,4, 09:25:00, 09:25:00,0.83,0,化学制药,4天4板,2.56
1,002207.SZ,准油股份,12.24,9.97,12.66,29.09,43.52,7, 09:25:00, 14:36:12,0.32,11,采掘行业,7天7板,0.03
2,002800.SZ,天顺股份,25.33,9.99,0.45,25.4,1.76,6, 09:25:00, 09:25:00,1.49,0,物流行业,6天6板,3.33
3,301126.SZ,达嘉维康,30.37,19.99,1.87,14.87,12.59,1, 09:25:03, 09:25:03,1.57,0,医疗服务,1天1板,0.84
4,600190.SH,锦州港,5.09,9.94,1.11,90.58,1.22,6, 09:25:04, 09:25:04,1.72,0,航运港口,6天6板,1.56
5,603569.SH,长久物流,10.26,9.97,0.24,57.48,0.42,3, 09:25:05, 09:25:05,0.73,0,物流行业,3天3板,3.03
6,600056.SH,中国医药,14.77,9.98,3.87,157.76,2.46,3, 09:25:06, 09:25:06,5.79,0,医药商业,3天3板,1.49
7,000078.SZ,海王生物,3.89,9.89,3.0,101.96,2.94,1, 09:30:03, 09:30:03,1.08,0,医药商业,1天1板,0.36
8,002162.SZ,悦心健康,7.72,9.97,3.12,65.89,4.8,3, 09:30:18, 09:30:18,1.0,0,装修建材,10天6板,0.32
9,603122.SH,合富中国,18.9,10.01,9.05,18.81,48.94,13, 09:30:27, 09:30:27,1.04,0,医疗器械,13天13板,0.11
10,600798.SH,宁波海运,6.14,10.04,16.91,63.29,27.36,3, 09:30:35, 14:48:03,0.26,11,航运港口,5天4板,0.02
11,000881.SZ,中广核技,10.24,9.99,5.51,78.97,7.0,1, 09:30:39, 14:37:57,0.27,7,化学制品,1天1板,0.05
12,600272.SH,开开实业,13.31,10.0,2.44,21.3,11.67,3, 09:31:05, 09:36:47,0.59,2,医药商业,3天3板,0.24
13,300966.SZ,共同药业,50.68,20.01,7.67,14.7,53.29,1, 09:31:33, 10:08:54,0.52,5,化学制药,1天1板,0.07
14,002435.SZ,长江健康,5.58,10.06,1.78,66.94,2.69,1, 09:32:09, 09:32:09,0.61,0,化学制药,1天1板,0.35
15,000411.SZ,英特集团,14.41,10.0,0.63,29.89,2.14,1, 09:33:18, 09:33:18,0.55,0,医药商业,1天1板,0.88
16,301130.SZ,西点药业,82.8,20.0,5.31,15.86,34.9,1, 09:34:15, 09:38:21,0.89,1,化学制药,1天1板,0.17
17,002898.SZ,赛隆药业,13.07,10.02,0.69,13.2,5.35,1, 09:37:30, 09:37:30,0.29,0,化学制药,1天1板,0.42
18,000950.SZ,重药控股,5.59,10.04,2.38,96.61,2.52,1, 09:38:06, 09:38:06,0.72,0,医药商业,1天1板,0.3
19,000710.SZ,贝瑞基因,18.7,10.0,3.65,55.67,6.65,1, 09:39:21, 14:45:09,0.27,2,医疗器械,1天1板,0.07
20,600684.SH,珠江股份,4.19,9.97,1.8,35.76,5.14,1, 09:41:00, 09:41:00,0.29,0,房地产开,1天1板,0.16
21,002626.SZ,金达威,33.06,10.02,6.06,203.78,3.02,2, 09:42:00, 09:42:00,0.82,0,食品饮料,2天2板,0.14
22,600833.SH,第一医药,11.55,10.0,3.06,25.77,12.07,1, 09:42:57, 13:41:52,0.09,3,医药商业,1天1板,0.03
23,002246.SZ,北化股份,9.99,10.02,3.56,54.85,6.63,1, 09:44:39, 09:44:39,0.71,0,化学制品,1天1板,0.2
24,600051.SH,宁波联合,9.65,10.03,5.1,30.0,17.64,2, 09:50:59, 14:42:25,0.22,5,综合行业,2天2板,0.04
25,600192.SH,长城电工,6.03,10.04,1.88,26.64,7.34,1, 10:00:48, 10:00:48,0.38,0,电网设备,1天1板,0.2
26,605116.SH,奥锐特,24.53,10.0,1.88,18.97,10.17,1, 10:01:18, 10:01:18,1.51,0,化学制药,1天1板,0.81
27,603963.SH,大理药业,10.08,10.04,2.14,22.15,10.15,3, 10:09:56, 10:47:47,0.15,1,中药,3天3板,0.07
28,002997.SZ,瑞鹄模具,20.79,10.0,4.66,23.79,19.98,1, 10:12:09, 14:33:18,0.22,6,汽车零部,1天1板,0.05
29,603029.SH,天鹅股份,21.4,10.03,3.26,19.97,16.7,1, 10:12:09, 13:28:49,0.09,4,专用设备,15天8板,0.03
30,002474.SZ,榕基软件,7.52,9.94,2.73,36.98,7.59,1, 10:17:21, 10:17:21,0.27,0,互联网服,1天1板,0.1
31,002589.SZ,瑞康医药,4.27,10.05,3.78,48.98,7.9,1, 10:18:06, 10:18:06,0.56,0,医药商业,1天1板,0.15
32,605333.SH,沪光股份,22.57,9.99,0.93,14.12,6.83,1, 10:23:49, 10:23:49,0.42,0,汽车零部,1天1板,0.45
33,600661.SH,昂立教育,11.98,10.01,2.47,34.33,7.57,1, 10:37:47, 10:37:47,0.43,0,教育,4天2板,0.18
34,601199.SH,江南水务,6.78,10.06,4.43,63.41,7.21,1, 10:52:29, 14:27:21,0.15,3,公用事业,1天1板,0.03
35,001202.SZ,炬申股份,20.8,9.99,3.93,6.71,61.2,2, 11:13:12, 14:54:15,0.03,7,物流行业,2天2板,0.01
36,002725.SZ,跃岭股份,9.6,9.97,3.17,18.76,17.73,1, 11:28:24, 11:28:24,0.81,0,汽车零部,1天1板,0.26
37,603368.SH,柳药股份,19.03,10.0,5.79,68.79,8.64,1, 13:00:03, 14:54:16,0.06,8,医药商业,1天1板,0.01
38,300081.SZ,恒信东方,12.9,20.0,10.06,49.24,22.32,1, 13:08:24, 13:08:24,1.23,0,通信服务,1天1板,0.12
39,001234.SZ,泰慕士,28.8,10.01,2.47,7.68,33.2,1, 13:11:33, 13:11:33,0.69,0,纺织服装,1天1板,0.28
40,002878.SZ,元隆雅图,24.02,9.98,4.31,45.3,9.95,1, 13:17:21, 13:17:21,1.23,0,专业服务,1天1板,0.29
41,002699.SZ,美盛文化,5.37,10.04,6.13,48.84,13.11,1, 13:20:30, 13:20:30,0.48,0,文化传媒,1天1板,0.08
42,001313.SZ,粤海饲料,17.11,10.03,10.52,17.11,69.96,3, 13:34:21, 14:35:18,0.6,0,农牧饲渔,13天11板,0.06
43,600587.SH,新华医疗,25.93,10.01,6.39,104.62,6.29,1, 13:37:25, 14:54:04,0.2,2,医疗器械,1天1板,0.03
44,002178.SZ,延华智能,6.48,10.02,9.52,46.09,21.82,1, 14:33:00, 14:45:00,0.27,3,软件开发,3天2板,0.03
