,数据日期,N日数据,股票代码,股票名称,所属行业板块,所属地区板块,当日收盘价(元),当日涨跌幅(%),当日持股数(股),当日持股市值(元),当日持股总占比,当日流通市值(元),当日总市值(元),当期增持股数(股),当期增持市值(元),当期市值增减幅,当期流通股占比变动,当期总占比变动
0,2021-07-26,y,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-9526129.0,-18937369862.95,-0.108772298915562,-0.00902703573665245,-0.00902703573665245
1,2021-07-26,jd,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,254219.0,933445761.53,0.0047503291775512,0.000357246287754665,0.000357246287754665
2,2021-07-26,m,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-724380.0,-1366190538.95,-0.00692106027829845,-0.000525886727801759,-0.000525886727801759
3,2021-07-26,10,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-842483.0,-1615571405.77,-0.00862052918431049,-0.000655828877709729,-0.000655828877709729
4,2021-07-26,5,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-415347.0,-786253420.7,-0.00418433268592232,-0.00031691107707941,-0.00031691107707941
5,2021-07-26,3,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-180139.0,-322851624.7,-0.00172767882084781,-0.000130526661952912,-0.000130526661952912
6,2021-07-26,1,'600519',贵州茅台,酿酒行业,贵州板块,1804.11,-5.0468,94725988.0,170896102210.68,0.0754069048680072,2266319012958.0,2266319012958.0,-241438.0,-435580710.18,-0.00241401725848498,-0.000182497537695015,-0.000182497537695015
7,2021-07-26,y,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,63446324.0,15699819175.91,0.945826420771206,0.0648542869260565,0.0360129627014007
8,2021-07-26,jd,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-2683445.0,-2322009631.43,-0.0434728020907403,-0.00481075359225989,-0.00280242816210783
9,2021-07-26,m,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-7722254.0,-4142505776.72,-0.0571161800996347,-0.00436743720884996,-0.00380624200987515
10,2021-07-26,10,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-6248225.0,-3425437032.68,-0.0393819165931286,-0.00298277194376297,-0.00259949973756283
11,2021-07-26,5,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-1217165.0,-674220994.34,-0.00866108477457198,-0.000634519413068027,-0.000552986644251447
12,2021-07-26,3,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-875656.0,-468766325.28,-0.00568510841259185,-0.000415539984680341,-0.000362145045444093
13,2021-07-26,1,'300750',宁德时代,汽车行业,福建板块,539.78,-1.3217,147483632.0,79608714880.96,0.063324662061394,1095613716811.16,1257151831363.56,-867489.0,-468253212.42,-0.00577025050012176,-0.000421740033096629,-0.000367548416715812
14,2021-07-26,y,'000333',美的集团,家电行业,广东板块,64.68,-3.405,1175400062.0,76024876010.16,0.166700392931299,445732750848.0,456056969472.72,-11605007.0,-378670592.42,-0.00475359050194193,-0.000825698572612558,-0.000803926953451714
