,DQCode,DQName,DateType,HYCode,HYName,HdDate,Hkcode,JG_SUM,LTSZ,LTZB,LTZB_One,Market,NewPrice,ORIGINALCODE,ORIGINALCODE_DQ,SCode,SName,ShareHold,ShareHold_Before_One,ShareHold_Chg_One,ShareSZ,ShareSZ_Before_One,ShareSZ_Chg_One,ShareSZ_Chg_Rate_One,SharesRate,ZSZ,ZZB,ZZB_One,Zdf
15,020005,广东板块,jd,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,0.0162250923587685,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,112450241.0,76024876010.16,0.0,8879185175.82,0.104941503593376,16.66,456056969472.72,0.166700392931299,0.01584159221717,-3.405
16,020005,广东板块,m,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,0.00323469569208607,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,21794812.0,76024876010.16,0.0,1629408263.49,0.0192957475971418,16.66,456056969472.72,0.166700392931299,0.00315957024102298,-3.405
17,020005,广东板块,10,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,0.000479130164048109,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,1973138.0,76024876010.16,0.0,233330019.5,0.00281251699082771,16.66,456056969472.72,0.166700392931299,0.000468198606208424,-3.405
18,020005,广东板块,5,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,-0.00140118996309859,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,-10681212.0,76024876010.16,0.0,-676739085.88,-0.00813469079187326,16.66,456056969472.72,0.166700392931299,-0.00136837903930977,-3.405
19,020005,广东板块,3,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,-0.00218001325586497,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,-15745670.0,76024876010.16,0.0,-1021430237.1,-0.0126124300287152,16.66,456056969472.72,0.166700392931299,-0.00213066211123854,-3.405
20,020005,广东板块,1,016019,家电行业,2021-07-26,1000240855,88.0,445732750848.0,0.170561566018032,-0.00189526660930122,003,64.68,456,153,000333,美的集团,1175400062.0,0.0,-13521357.0,76024876010.16,0.0,-874561370.76,-0.0109855472045859,16.66,456056969472.72,0.166700392931299,-0.00185236155985272,-3.405
21,020005,广东板块,y,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,0.0293955010947531,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,418659396.0,65832713965.8,0.0,20969248322.53,0.630691540195488,6.69,1202986635167.7,0.0547243934731018,0.0240444833858232,-4.6953
22,020005,广东板块,jd,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,0.00502187990408156,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,99123964.0,65832713965.8,0.0,5479196748.97,0.0808701980170067,6.69,1202986635167.7,0.0547243934731018,0.00410772068589915,-4.6953
23,020005,广东板块,m,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,0.00116576405391975,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,24890445.0,65832713965.8,0.0,1322666503.71,0.0177446791385578,6.69,1202986635167.7,0.0547243934731018,0.000953553890301486,-4.6953
24,020005,广东板块,10,016029,银行,2021-07-26,1000002452,72.0,984000649263.3,0.0669031204553447,0.000680255011787559,001,47.7,475,153,600036,招商银行,1380140754.0,0.0,13246163.0,65832713965.8,0.0,707260318.92,0.0102662948029138,6.69,1202986635167.7,0.0547243934731018,0.000556424613287794,-4.6953
