,数据日期,N日数据,股票代码,股票名称,所属行业板块,所属地区板块,当日收盘价(元),当日涨跌幅(%),当日持股数(股),当日持股市值(元),当日持股总占比,当日流通市值(元),当日总市值(元),当期增持股数(股),当期增持市值(元),当期市值增减幅,当期流通股占比变动,当期总占比变动
22,2022-01-07,jd,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,62411800.0,3601690509.37,0.0484622366339924,0.00338360520142934,0.00276766974605085
23,2022-01-07,m,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,31843959.0,1763050816.22,0.0231220275860714,0.00164862860639966,0.0013485200680265
24,2022-01-07,10,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,-9997319.0,-461864725.31,-0.00603047026012052,-0.000442211325526566,-0.000361713271543591
25,2022-01-07,5,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,-13205597.0,-638967203.61,-0.00869082550875183,-0.000638645450962156,-0.000522389459720149
26,2022-01-07,3,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,-9839459.0,-476767920.15,-0.00651928824962305,-0.000478006212862702,-0.000390992227227213
27,2022-01-07,1,'600036',招商银行,银行,广东板块,49.05,1.8692,1502712713.0,73708058572.65,0.0595845326245937,1011849724242.45,1237033426729.05,-221331.0,-10856285.55,-0.000150018577952569,-1.09296929279824e-05,-8.94010342507581e-06
28,2022-01-07,y,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,158905588.4,15198246502.102,0.448620795985297,0.0379610544860618,0.0379601928622562
29,2022-01-07,jd,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,5791261.0,527243411.18,0.00935781313393883,0.0011051303309524,0.00110510586107472
30,2022-01-07,m,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,-3456943.0,-268082764.31,-0.00492314755745594,-0.000589820853679725,-0.000589807793822673
31,2022-01-07,10,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,3069123.0,242496869.54,0.00466465087778923,0.000553227484242773,0.000553215234638818
32,2022-01-07,5,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,777400.0,59866675.25,0.00114396266684093,0.000136158284252632,0.000136155269425812
33,2022-01-07,3,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,730121.0,58038275.47,0.00106150676695673,0.000126353377564036,0.000126350579838186
34,2022-01-07,1,'601012',隆基股份,光伏设备,陕西板块,80.27,-0.3476,645030972.0,51776636122.44,0.11916434648444,434488093190.58,434497713871.16,4245008.0,340746792.16,0.00660166133109879,0.000781522732024427,0.000781505427490178
35,2022-01-07,y,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,-10575702.0,-1984922517.77,-0.0283709246617181,-0.00173614838428919,-0.00169776241992463
36,2022-01-07,jd,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,9623918.0,2333878143.48,0.0546866551372903,0.00298802992971761,0.00298795308987207
37,2022-01-07,m,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,1847866.0,650406646.57,0.0126423109774401,0.0007160916454222,0.000716073230489043
38,2022-01-07,10,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,-6603589.0,-1514409123.31,-0.0286343057412904,-0.00168426493210205,-0.00168422161973227
39,2022-01-07,5,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,-3359676.0,-743555674.57,-0.014650672985665,-0.000849505978733489,-0.000849484132932166
40,2022-01-07,3,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,-2700980.0,-596192471.41,-0.0118838160555385,-0.000687055594328966,-0.000687037926083671
41,2022-01-07,1,'000858',五粮液,酿酒行业,四川板块,217.66,-0.8292,221706054.0,48256539713.64,0.0571170642976866,844849071764.76,844870798368.3,-665727.0,-144902138.82,-0.00296893144823455,-0.000170090218073503,-0.000170085844052361
42,2022-01-07,y,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,6607474.0,578075303.26,0.0097340503534974,0.000992201762402351,0.000992201762402351
43,2022-01-07,jd,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,21192597.0,5086393445.89,0.120932187905233,0.0114233707339674,0.0114233707339674
44,2022-01-07,m,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,3165309.0,769096437.28,0.0178345416699992,0.00184933501819101,0.00184933501819101
45,2022-01-07,10,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,-2970125.0,-634965180.27,-0.0141581543394171,-0.00151260610097581,-0.00151260610097581
46,2022-01-07,5,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,-1984442.0,-414114978.31,-0.00917094142613469,-0.000975160440611447,-0.000975160440611447
47,2022-01-07,3,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,-1733324.0,-363829583.18,-0.00819672483813165,-0.000870516254976328,-0.000870516254976328
48,2022-01-07,1,'601888',中国国旅,旅游酒店,北京板块,207.78,-1.1089,205625314.0,42724827742.92,0.105315180326786,405685368532.32,405685368532.32,-45643.0,-9483702.54,-0.0002194614438262,-2.31177518791683e-05,-2.31177518791683e-05
49,2022-01-07,y,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,193042709.0,6846796843.75,0.173559496821212,0.0237367807857377,0.0231421042076903
50,2022-01-07,jd,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,152313438.0,6256992638.78,0.203937411227613,0.0292920575711019,0.0285603046547337
51,2022-01-07,m,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,35770581.0,1528008011.0,0.0394697861696209,0.00641232787984115,0.00628382007828889
52,2022-01-07,10,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,8126884.0,363326151.24,0.00877765327611087,0.00146674291476436,0.00136594200859821
53,2022-01-07,5,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,-3418883.0,-117000320.81,-0.00280774840939285,-0.000474612751194883,-0.000441995313662458
54,2022-01-07,3,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,-3867278.0,-134944900.63,-0.00328942883158397,-0.000556281924126747,-0.000518051828401461
55,2022-01-07,1,'600887',伊利股份,食品饮料,内蒙古,40.13,0.3752,1004088721.0,40294080373.73,0.156885653413129,239186288697.31,256837253739.34,3394807.0,136233604.91,0.00340518099193451,0.000571708090956898,0.000532417842440352
56,2022-01-07,y,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,432589103.0,8995335277.51,0.380792598392999,0.0207089472065692,0.0207089472065692
57,2022-01-07,jd,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,314982320.0,6733211401.43,0.249567159867988,0.0148630161296498,0.0148630161296498
58,2022-01-07,m,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,72604344.0,1607231131.58,0.0503778421695203,0.00353717775508267,0.00353717775508267
59,2022-01-07,10,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,34814757.0,774075951.43,0.0215453833267161,0.00154856671471464,0.00154856671471464
60,2022-01-07,5,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,22462339.0,500848489.65,0.01349813861014,0.000977505500255245,0.000977505500255245
61,2022-01-07,3,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,17437164.0,385306197.87,0.0102121097204545,0.000741795045650354,0.000741795045650354
62,2022-01-07,1,'600900',长江电力,电力行业,北京板块,22.16,0.6815,1669377749.0,36993410917.84,0.0734055088511776,503959600536.8,503959600536.8,2496595.0,55324545.2,0.00150797163837306,0.000110527880739615,0.000110527880739615
63,2022-01-07,y,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,-117948382.0,-3309153290.98,-0.0492947550533598,-0.00363535836787768,-0.0021542722902813
64,2022-01-07,jd,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,-104718818.0,-5038893978.58,-0.124416199331217,-0.0090234217872657,-0.00534717778901547
65,2022-01-07,m,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,79747737.0,4089117944.34,0.134982542820293,0.00749117575196508,0.00443918610244385
66,2022-01-07,10,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,20765048.0,1074810985.31,0.0320237886715643,0.00195160203373874,0.00115649731264168
67,2022-01-07,5,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,14112489.0,733629843.83,0.0218248833250025,0.00134346080284411,0.000796119691037708
68,2022-01-07,3,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,7806931.0,412149080.05,0.0120057233319729,0.000746017243705494,0.00044208138883568
69,2022-01-07,1,'601318',中国平安,保险,广东板块,52.94,3.1969,680932097.0,36048545215.18,0.0372496227882146,573481258524.12,967755980245.4,5523643.0,292421660.42,0.00843967419252274,0.00052620731489357,0.00031182450881186
70,2022-01-07,y,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,34840761.0,13057793592.35,0.3938098733985,0.0577248102887927,0.0237004505204993
71,2022-01-07,jd,'300760',迈瑞医疗,医疗器械,广东板块,327.99,-2.9615,108004063.0,35424252623.37,0.0888416870472112,398734578335.34,398734578335.34,2477063.0,646723331.65,0.01887670344055,0.00399091392365507,0.00163857546704701
