,ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ
0,2020-10-15,sz300999,NН№Сњгу,56.0,62.65,39.51,48.96,25.7,30.3,117.8988,71.2112,254037494,11216271382.1,303609126016.0,19977346704.0
1,2020-10-16,sz300999,CН№Сњгу,49.01,55.87,48.01,49.0,56.0,-6.99,-12.4821,51.1795,182576747,9291297960.81,265712201179.0,17483745749.3
2,2020-10-19,sz300999,CН№Сњгу,45.2,47.5,44.89,47.0,49.01,-3.81,-7.7739,32.1761,114784503,5269685600.88,245055937427.0,16124572696.8
3,2020-10-20,sz300999,CН№Сњгу,47.9,49.2,45.4,45.4,45.2,2.7,5.9735,30.3221,108170712,5132022143.43,259694234574.0,17087766198.6
4,2020-10-21,sz300999,CН№Сњгу,47.5,50.14,45.9,47.0,47.9,-0.4,-0.8351,32.3048,115243544,5539716587.07,257525597960.0,16945070865.0
5,2020-10-22,sz300999,Н№Сњгу,48.65,49.87,46.52,46.81,47.5,1.15,2.4211,24.2932,86663090,4198742991.64,263760428226.0,17355319949.1
6,2020-10-23,sz300999,Н№Сњгу,47.9,49.48,47.35,49.23,48.65,-0.75,-1.5416,20.8543,74395457,3592974123.98,259694234574.0,17087766198.6
7,2020-10-26,sz300999,Н№Сњгу,46.39,47.48,45.85,47.35,47.9,-1.51,-3.1524,14.5084,51756998,2410431728.64,251507631355.0,16549091314.3
8,2020-10-27,sz300999,Н№Сњгу,44.53,46.3,43.72,46.05,46.39,-1.86,-4.0095,20.2841,72361323,3242064592.71,241423471098.0,15885558013.0
9,2020-10-28,sz300999,Н№Сњгу,45.3,45.5,43.85,44.3,44.53,0.77,1.7292,14.8075,52824162,2367255009.47,245598096581.0,16160246530.2
10,2020-10-29,sz300999,Н№Сњгу,44.47,45.17,44.06,44.31,45.3,-0.83,-1.8322,11.6913,41707292,1860893204.76,241098175606.0,15864153713.0
11,2020-10-30,sz300999,Н№Сњгу,45.99,47.88,44.63,44.63,44.47,1.52,3.418,21.4351,76467265,3533501628.88,249338994741.0,16406395980.7
12,2020-11-02,sz300999,Н№Сњгу,51.65,52.37,47.0,48.0,45.99,5.66,12.307,33.4009,119153657,5887609045.69,280025202834.0,18425534951.1
13,2020-11-03,sz300999,Н№Сњгу,51.16,54.41,50.45,51.28,51.65,-0.49,-0.9487,29.9047,106681430,5573436766.4,277368622982.0,18250733167.4
14,2020-11-04,sz300999,Н№Сњгу,53.74,54.28,51.05,51.8,51.16,2.58,5.043,26.0305,92860870,4897242986.63,291356329145.0,19171118069.2
15,2020-11-05,sz300999,Н№Сњгу,53.9,56.66,52.25,53.4,53.74,0.16,0.2977,27.4627,97970002,5300962056.74,292223783790.0,19228196202.6
16,2020-11-06,sz300999,Н№Сњгу,60.9,61.5,53.48,53.9,53.9,7.0,12.987,30.8137,109924453,6256618071.1,330174924542.0,21725364540.6
